活動名稱,連結,開始時間,結束時間,主辦單位,連絡電話,聯絡Email,地點,費用,參加對象,縣市,類型
【新竹】ISO 14064-1:2018 組織溫室氣體內部查證人員訓練課程,https://reurl.cc/94yeZd,2023/11/7 09:00,2023/11/8 17:00,中華人事主管協會（代招）,02-27485188,cpea@cpea.org.tw,新竹市新竹SGS訓練教室（請依上課通知資訊為主）,收費,無資料,新竹市,課程
【台北】ISO 14064-1:2018 組織溫室氣體內部查證人員訓練課程,https://reurl.cc/mDX8L9,2023/12/14 09:00,2023/12/15 17:00,中華人事主管協會（代招）,02-27485188,cpea@cpea.org.tw,臺北市五股SGS訓練教室（請依上課通知資訊為主）,收費,無資料,臺北市,課程
【高雄】ISO 14067:2018 碳足跡管理與計算基礎課程,https://reurl.cc/nD2MD8,2023/9/5 09:00,2023/9/7 16:00,中華人事主管協會（代招）,02-27485188,cpea@cpea.org.tw,高雄市楠梓區開發路61號,收費,無資料,高雄市,課程
【遠距視訊課程】ISO 9001:2015 品質管理系統主導稽核員訓練課程(IRCA編號 17977),https://reurl.cc/VLgo4b,2023/9/18 09:00,2023/9/22 18:00,中華人事主管協會（代招）,02-27485188,cpea@cpea.org.tw,臺北市線上課程,收費,無資料,臺北市,線上
【新竹】ISO 45001:2018職業安全衛生管理系統主導稽核員訓練課程,https://reurl.cc/XE0Wbj,2023/9/18 09:00,2023/9/22 18:30,中華人事主管協會（代招）,02-27485188,cpea@cpea.org.tw,新竹縣竹北市生醫路二段2號,收費,無資料,新竹縣,課程
ISO 14064-1:2018 溫室氣體盤查標準主導查證員訓練課程,https://bit.ly/3JOOWmg,2023/11/16 09:00,2023/11/21 18:00,中華人事主管協會（代招）,02-27485188,cpea@cpea.org.tw,新北市五股區五工路125號,收費,無資料,臺北市,課程
【台中】ISO 45001:2018職業安全衛生管理系統主導稽核員訓練課程,https://reurl.cc/656aRV,2023/9/6 09:00,2023/9/12 18:30,中華人事主管協會（代招）,02-27485188,cpea@cpea.org.tw,臺中市烏日區高鐵一路299號,收費,無資料,臺中市,課程
【新竹】ISO 14064-1:2018 溫室氣體盤查標準主導查證員訓練課程,https://reurl.cc/4o8KyD,2023/9/5 09:00,2023/9/13 18:00,中華人事主管協會（代招）,02-27485188,cpea@cpea.org.tw,新竹市新竹SGS訓練教室（請依上課通知資訊為主）,收費,無資料,新竹市,課程
【台北】ISO 27001 : 2022 資訊安全管理系統主導稽核員訓練,https://reurl.cc/YeAObx,2023/9/12 09:00,2023/9/20 18:00,中華人事主管協會（代招）,02-27485188,cpea@cpea.org.tw,新北市五股區五工路134號,收費,無資料,新北市,課程
【Skill-up Seminar】新創出海全攻略 Ep.3東亞新創機會與限制,https://stli.iii.org.tw/news-event.aspx?no=16&d=1243,2023/8/16 00:00,2023/9/8 16:30,經濟部中小企業處、資策會科法所,(02)6631-1164,cytsai@iii.org.tw,臺北市大安區仁愛路三段99號,免費,無資料,臺北市,課程
「擴大中小企業5G創新服務應用計畫」第二梯次實證案徵案,https://forms.gle/jVoaeMb8bopMPJ7J9,2023/8/10 09:00,2023/9/5 17:00,經濟部中小企業處,(02)2553-3988 轉631王小姐、832李小姐,無資料,無資料,免費,無資料,無資料,競賽
【台北】第145期A.P.S採購與供應從業人員基礎採購檢定班,https://reurl.cc/4oD7lD,2023/8/9 09:00,2023/9/6 17:00,中華人事主管協會（代招）,02-27485188,cpea@cpea.org.tw,臺北市大安區建國南路二段231號,收費,無資料,臺北市,課程
NPDP產品經理國際認證培訓班(假日班),https://reurl.cc/RzL8R9,2023/8/12 09:00,2023/9/9 18:00,中華人事主管協會（代招）,02-27485188,cpea@cpea.org.tw,臺北市中山區松江路131號,收費,無資料,臺北市,課程
【台中】第147期A.P.S採購與供應從業人員基礎採購檢定班,https://reurl.cc/N08mnp,2023/10/14 09:00,2023/11/11 17:00,中華人事主管協會（代招）,02-27485188,cpea@cpea.org.tw,臺中市西屯區臺灣大道三段658號,收費,無資料,臺中市,課程
【直播視訊班】PMP國際專案管理師證照專班,https://reurl.cc/AAr453,2023/10/15 09:00,2023/11/26 18:00,中華人事主管協會（代招）,02-27485188,cpea@cpea.org.tw,臺北市線上課程,收費,無資料,臺北市,線上
【高雄】PMP國際專案管理師證照專班,https://reurl.cc/RzVqeg,2023/10/22 09:00,2023/12/3 18:00,中華人事主管協會（代招）,02-27485188,cpea@cpea.org.tw,高雄市新興區中正三路55號,收費,無資料,高雄市,課程
【線上Live】企業如何透過《網站黃金鐵三角策略》達成營業額10倍速成長?,https://form.smart7-11.com/1hform01.asp?rid=sme#go,2023/8/16 11:35,2023/9/29 17:00,台灣商務發展有限公司,02-25170092,ecoach@boss7-11.com,臺北市中山區復興北路348號,免費,無資料,臺北市,課程
第一八○A屆PMP國際專案管理師證照專班,https://bit.ly/43gwQjO,2023/7/23 09:00,2023/9/10 18:00,中華人事主管協會（代招）,02-27485188,cpea@cpea.org.tw,臺北市中正區貴陽街一段56號,收費,無資料,臺北市,課程
【新竹】PMP國際專案管理師證照專班,https://reurl.cc/N0MQG6,2023/9/16 09:00,2023/11/4 18:00,中華人事主管協會（代招）,02-27485188,cpea@cpea.org.tw,新竹市東區光復路二段101號,收費,無資料,新竹市,課程
【新明青創基地】數位人才培育工作坊-AWS雲端技術課程,https://forms.gle/fQMbDqifRW1jqSUC8,2023/7/7 09:30,2023/8/31 16:30,桃園市政府青年事務局,(03)492-8797,hsinmingservice@gmail.com,桃園市中壢區明德路60號,免費,無資料,桃園市,課程
WBSA初階商務行銷企劃師認證班(假日班),https://bit.ly/3JgaIz2,2023/8/19 09:00,2023/10/14 17:30,中華人事主管協會（代招）,02-27485188,cpea@cpea.org.tw,臺北市請依上課通知資訊為主,收費,無資料,臺北市,課程
WBSA中階品牌行銷策略師認證班(假日班),https://bit.ly/447ylBS,2023/8/19 09:00,2023/10/14 12:00,中華人事主管協會（代招）,02-27485188,cpea@cpea.org.tw,臺北市中山區松江路131號,收費,無資料,臺北市,課程
【線上 online】如何預防職場不法侵害與重視性別平等實務解析,https://bit.ly/3Nb9V3A,2023/8/17 00:00,2023/10/17 23:55,中華人事主管協會,02-27485188,cpea@cpea.org.tw,臺北市線上課程,收費,無資料,臺北市,線上
經濟部A+企業臺以創新研發合作計畫,https://aiip.tdp.org.tw/Page?itemid=11&mid=47,2023/6/1 09:00,2023/9/11 17:00,經濟部技術處,03-5913425,XiaoHu@itri.org.tw,無資料,免費,國際主題,無資料,競賽
【台北】第134期CPPS採購供應專業認證,https://reurl.cc/GAqRgy,2023/8/19 09:00,2023/12/3 17:00,中華人事主管協會（代招）,02-27485188,cpea@cpea.org.tw,臺北市信義區忠孝東路五段508號,收費,無資料,臺北市,課程
112年度「臺北市補助工商團體及廠商海外推展貿易計畫」-【研習課程】,https://pse.is/4z33by,2023/5/25 12:00,2023/9/29 12:00,臺北市政府產業發展局,(02)2366-0812，分機187，許先生,jimmy_hsu@nasme.org.tw,臺北市大安區羅斯福路二段95號,免費,國際主題,臺北市,線上
經濟部A+企業臺西創新研發合作計畫,https://aiip.tdp.org.tw/Page?itemid=11&mid=47,2023/7/5 09:00,2023/11/30 17:00,經濟部技術處,03-5913596,LinHY@itri.org.tw,無資料,免費,國際主題,無資料,競賽
經濟部A+企業臺德創新研發合作計畫,https://aiip.tdp.org.tw/Page?itemid=11&mid=47,2023/2/1 09:00,2023/9/29 17:00,經濟部技術處,03-5914877,kuovincent@itri.org.tw,無資料,免費,國際主題,無資料,競賽
TAICCA 第四期文化創業加速器,https://school.taicca.tw/accelerator,2023/3/27 09:00,2023/11/30 09:00,文化內容策進院,02-2745-8186 #715 #723 #729,startups@taicca.tw,臺北市松山區民生東路三段158號,免費,無資料,臺北市,活動
111及112年熱門行業創業專題課程,https://beboss.wda.gov.tw/ClassSearch.aspx?n=204&sms=9042,2022/12/23 10:00,2023/11/22 09:00,勞動部勞動力發展署,02-23328558#338或352,338@careernet.org.tw / 352@careernet.org.tw,無資料,免費,無資料,無資料,課程
